,date,close_2Y,open_2Y,change_2Y,time,infringementdummy,ruleoflawdummy,budgetdummy,financialmarketsdummy,rate_mom,_merge,day_of_week
1631,03/01/2019,1.755,1.691,-0.037847433,1632,0,0,,0,0.0,Master only (1),Friday
1636,03/08/2019,1.607,1.617,0.006184286,1637,0,0,,0,0.0,Master only (1),Friday
1641,03/15/2019,1.6390001,1.6619999,0.013838679,1642,0,0,,0,0.0,Master only (1),Friday
1646,03/22/2019,1.734,1.654,-0.048367545,1647,0,0,,0,0.0,Master only (1),Friday
1651,03/29/2019,1.691,1.715,0.013994197,1652,0,0,,0,0.0,Master only (1),Friday
1656,04/05/2019,1.778,1.738,-0.023014937,1657,0,0,,0,0.0,Master only (1),Friday
1661,04/12/2019,1.674,1.6849999,0.0065281414,1662,0,0,,0,0.0,Master only (1),Friday
1666,04/19/2019,1.704,1.597,-0.06700062,1667,0,0,,0,0.0,Master only (1),Friday
1671,04/26/2019,1.615,1.628,0.007985265,1672,0,0,,0,0.0,Master only (1),Friday
1676,05/03/2019,1.705,1.705,0.0,1677,0,0,,0,0.0,Master only (1),Friday
1681,05/10/2019,1.663,1.704,0.024061037,1682,0,0,,0,0.0,Master only (1),Friday
1686,05/17/2019,1.714,1.724,0.0058004586,1687,0,0,,0,0.0,Master only (1),Friday
1691,05/24/2019,1.683,1.725,0.024347859,1692,0,0,,0,0.0,Master only (1),Friday
1696,05/31/2019,1.666,1.683,0.010100987,1697,0,0,,0,0.0,Master only (1),Friday
1701,06/07/2019,1.652,1.663,0.0066145742,1702,0,0,,0,0.0,Master only (1),Friday
1706,06/14/2019,1.576,1.592,0.010050272,1707,0,0,,0,0.0,Master only (1),Friday
1710,06/21/2019,1.608,1.581,-0.017077843,1711,0,0,,0,0.0,Master only (1),Friday
1714,06/28/2019,1.623,1.6,-0.014375001,1715,0,0,,0,0.0,Master only (1),Friday
1719,07/05/2019,1.714,1.604,-0.068578564,1720,0,0,,0,0.0,Master only (1),Friday
1724,07/12/2019,1.571,1.572,0.000636162,1725,0,0,,0,0.0,Master only (1),Friday
1729,07/19/2019,1.581,1.566,-0.0095785353,1730,0,0,,0,0.0,Master only (1),Friday
1734,07/26/2019,1.559,1.53,-0.018954277,1735,0,0,,0,0.0,Master only (1),Friday
1739,08/02/2019,1.543,1.7079999,0.096604198,1740,0,0,,0,0.0,Master only (1),Friday
1744,08/09/2019,1.563,1.591,0.017598992,1745,0,0,,0,0.0,Master only (1),Friday
1749,08/16/2019,1.489,1.5319999,0.028067876,1750,0,0,,0,0.0,Master only (1),Friday
1754,08/23/2019,1.581,1.604,0.014339154,1755,0,0,,0,0.0,Master only (1),Friday
1759,08/30/2019,1.5650001,1.6569999,0.055521961,1760,0,0,,0,0.0,Master only (1),Friday
1764,09/06/2019,1.563,1.585,0.013880173,1765,0,0,,0,0.0,Master only (1),Friday
1769,09/13/2019,1.559,1.598,0.024405528,1770,0,0,,0,0.0,Master only (1),Friday
1776,09/20/2019,1.467,1.482,0.010121448,1777,0,0,,0,0.0,Master only (1),Friday
1783,09/27/2019,1.4960001,1.478,-0.012178624,1784,0,0,,0,0.0,Master only (1),Friday
1790,10/04/2019,1.5190001,1.51,-0.0059603066,1791,0,0,,0,0.0,Master only (1),Friday
1797,10/11/2019,1.544,1.497,-0.031396158,1798,0,0,,0,0.0,Master only (1),Friday
1804,10/18/2019,1.536,1.511,-0.016545318,1805,0,0,,0,0.0,Master only (1),Friday
1811,10/25/2019,1.488,1.522,0.022338975,1812,0,0,,0,0.0,Master only (1),Friday
1818,11/01/2019,1.418,1.411,-0.0049609989,1819,0,0,,0,0.0,Master only (1),Friday
1824,11/08/2019,1.434,1.444,0.006925201,1825,0,0,,0,0.0,Master only (1),Friday
1831,11/15/2019,1.399,1.383,-0.011569076,1832,0,0,,0,0.0,Master only (1),Friday
